,Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Types
123,Rare Brut Champagne (Millesimé) 2006,France,Champagne,Piper-Heidsieck,4.4,178,144.05,2006,Champagne
124,N.P.U Brut Champagne (Nec Plus Ultra) 2002,France,Champagne,Bruno Paillard,4.6,181,174.97,2002,Champagne
125,James Bond 007 Brut Champagne 2011,France,Champagne,Bollinger,4.5,182,167.66,2011,Champagne
126,Crémant d'Alsace Cuvée Prestige Brut N.V.,France,Crémant d'Alsace,Kuehn,3.6,182,13.95,,Champagne
127,Blanc de Blancs Brut Champagne Grand Cru 2006,France,Champagne Grand Cru,Bonnaire,4.0,183,42.79,2006,Champagne
128,Vieilles Vignes Brut Champagne Grand Cru 'Aÿ' N.V.,France,Champagne Grand Cru 'Aÿ',André Roger,4.0,183,44.77,,Champagne
129,Esprit Champagne Grand Cru N.V.,France,Champagne Grand Cru,Baron-Fuenté,3.9,190,37.99,,Champagne
130,D Brut Rosé Champagne N.V.,France,Champagne,Veuve A. Devaux,3.8,190,46.9,,Champagne
131,Spécial Club Brut Champagne Premier Cru 2015,France,Champagne Premier Cru,Marc Hébrart,4.2,191,49.9,2015,Champagne
132,Sélection Champagne N.V.,France,Champagne,Louis Casters,3.7,193,22.95,,Champagne
133,La Grande Année Brut Champagne 2012,France,Champagne,Bollinger,4.6,193,119.0,2012,Champagne
134,Réserve Privée Blanc de Blancs Brut Champagne Grand Cru N.V.,France,Champagne Grand Cru,Bruno Paillard,4.2,194,65.0,,Champagne
135,Special Club Brut Champagne Grand Cru 'Bouzy' 2008,France,Champagne Grand Cru 'Bouzy',Paul Bara,4.2,200,58.0,2008,Champagne
136,Blanc de Blancs Extra Brut Champagne N.V.,France,Champagne,Le Brun de Neuville,3.8,201,29.9,,Champagne
137,Cuvée Eugène Brut Champagne N.V.,France,Champagne,Louis Casters,4.0,202,31.9,,Champagne
138,Cuvée Joséphine Brut Champagne 2008,France,Champagne,Joseph Perrier,4.4,204,88.9,2008,Champagne
139,Cuvée Prestige Millésimé Brut Champagne 2012,France,Champagne,J.M. Gobillard & Fils,4.1,205,34.8,2012,Champagne
140,Esprit de Victoria Brut Rosé Champagne N.V.,France,Champagne,Joseph Perrier,3.8,206,44.9,,Champagne
141,Extra Brut Champagne N.V.,France,Champagne,Gosset,3.8,209,29.5,,Champagne
142,Crémant d'Alsace Brut Rosé N.V.,France,Crémant d'Alsace,Boeckel,3.8,210,18.5,,Champagne
143,Tendresse Brut Rosé Champagne N.V.,France,Champagne,Veuve Doussot,4.1,211,44.5,,Champagne
144,Blanc de Blancs Brut Champagne N.V.,France,Champagne,Gremillet,3.8,211,35.0,,Champagne
145,Dosage Zéro Champagne N.V.,France,Champagne,Bruno Paillard,4.2,212,55.0,,Champagne
146,Brut Mosaic Signature Aged 5 Years N.V.,France,Champagne,Jacquart,4.0,214,35.0,,Champagne
147,Ouvrage Grand Cru Champagne (Elevé Sous Liège) N.V.,France,Champagne,Lallier,4.2,216,86.69,,Champagne
148,Brut Champagne Premier Cru Sélection Mövenpick N.V.,France,Champagne Premier Cru,Frédéric Malétrez,3.7,218,28.5,,Champagne
149,Brut Rosé Champagne N.V.,France,Champagne,Tribaut Schloesser,3.8,220,31.95,,Champagne
150,Dom Ruinart Rosé Brut Champagne 2004,France,Champagne,Ruinart,4.6,221,259.0,2004,Champagne
151,Blanc de Blancs Extra Brut Champagne Grand Cru N.V.,France,Champagne Grand Cru,Bonnaire,3.9,225,35.9,,Champagne
